region,config,seed,eval_source,eval_label,lead_hours,present,target,model,train_loss,head,variable,checkpoint_epoch,best_val_loss,nll,crps,mae,rmse,bias,correlation,mean_pred_std,within_1sigma,within_2sigma,pit_chi2_stat,pit_chi2_pvalue,p50,p90,p95,p99,n_predictions,n_test_stations,seasonal_mae_DJF,seasonal_mae_MAM,seasonal_mae_JJA,seasonal_mae_SON
europe,t2m_snap_bilinear_baseline_wd,456,eval_era5,ERA5,0,True,t2m,baseline,nll,gaussian,t2m,8,1.8091682629226005,1.7730815410614014,0.8390236496925354,1.1640750169754028,1.6682204008102417,0.006909695453941822,0.9836101640514708,1.3444979190826416,67.03387646353954,92.86380128664288,6654.2866194495955,0.0,0.8100409507751465,2.6107327938079834,3.4603395462036133,5.61859130859375,1195048,898,1.1912859110135094,1.1534536918418954,1.2001125660318994,1.108228270179166
europe,t2m_snap_bilinear_baseline_wd,456,eval_aurora_lead6h,Aurora +6h,6,True,t2m,baseline,nll,gaussian,t2m,8,1.8091682629226005,1.831067442893982,0.8724752068519592,1.211498498916626,1.71434485912323,-0.02335936576128006,0.9827346208976676,1.3409409523010254,64.51146732181469,91.79890682215274,17715.290428501616,0.0,0.8604600429534912,2.6977734565734863,3.539480209350586,5.677931785583496,1195048,898,1.228670992010688,1.1993843570647864,1.2600462477906462,1.1562196496950896
europe,t2m_snap_bilinear_baseline_wd,456,eval_aurora_lead24h,Aurora +24h,24,True,t2m,baseline,nll,gaussian,t2m,8,1.8091682629226005,1.9242398738861084,0.915230393409729,1.2656126022338867,1.775497555732727,0.10510171949863434,0.9816226523081941,1.3254863023757935,61.518365789491305,89.82141303110838,48749.28164893795,0.0,0.908266544342041,2.806180715560913,3.6639163494110107,5.786157608032227,1195048,898,1.2967098596175983,1.2468109628562798,1.3164059795995084,1.1991117165255512
europe,t2m_snap_bilinear_baseline_wd,456,eval_aurora_lead72h,Aurora +72h,72,True,t2m,baseline,nll,gaussian,t2m,8,1.8091682629226005,2.3772640228271484,1.1097629070281982,1.508924126625061,2.045919179916382,-0.04820088669657707,0.9756930646366884,1.3188844919204712,52.02351704701401,82.44522395753141,225600.04774368892,0.0,1.137105941772461,3.275238037109375,4.180042266845703,6.336700439453125,1195048,898,1.5585150799150689,1.4655597304528172,1.580066182292113,1.4264244723496973
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd_crps,123,eval_era5,ERA5,0,True,t2m,tessera,crps,gaussian,t2m,18,0.754958240606197,1.717315912246704,0.7846003770828247,1.0866316556930542,1.5653821229934692,0.054793890565633774,0.9855920348479967,1.2603002786636353,66.95931878886873,92.6441448376969,6790.664472054679,0.0,0.7536497116088867,2.4371285438537598,3.234989881515503,5.261295795440674,1195048,898,1.0955846391961281,1.07620633098173,1.1374923733209854,1.0366905898284684
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd_crps,123,eval_aurora_lead6h,Aurora +6h,6,True,t2m,tessera,crps,gaussian,t2m,18,0.754958240606197,1.7795425653457642,0.8146506547927856,1.1286026239395142,1.6062067747116089,0.02432204782962799,0.9847991525882891,1.2546790838241577,64.44636533427946,91.533561831826,17459.581938131356,0.0,0.7984331846237183,2.5124154090881348,3.3067750930786133,5.306298732757568,1195048,898,1.1345014170411243,1.1163363889555653,1.186910665114924,1.0766487866977337
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd_crps,123,eval_aurora_lead24h,Aurora +24h,24,True,t2m,tessera,crps,gaussian,t2m,18,0.754958240606197,1.9032572507858276,0.8653960824012756,1.192840576171875,1.680643916130066,0.1478963941335678,0.9834936002125549,1.2389898300170898,60.850442827401075,89.09391087219927,61027.40594185338,0.0,0.8547449111938477,2.6420745849609375,3.45687198638916,5.475255966186523,1195048,898,1.2171969537732577,1.176760104340951,1.2439777924446724,1.130883541448276
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd_crps,123,eval_aurora_lead72h,Aurora +72h,72,True,t2m,tessera,crps,gaussian,t2m,18,0.754958240606197,2.4651272296905518,1.0683987140655518,1.442733645439148,1.968769907951355,0.0072660064324736595,0.9772160229833807,1.2341499328613281,51.15794512019601,80.96210361424812,250843.43890454608,0.0,1.082170009613037,3.1243667602539062,4.008820533752441,6.156917095184326,1195048,898,1.4983885419873582,1.4063557333958703,1.5040783035239156,1.355853508716583
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd_crps,42,eval_era5,ERA5,0,True,t2m,tessera,crps,gaussian,t2m,31,0.7570949361544765,1.742821216583252,0.7868797183036804,1.0873807668685913,1.5699529647827148,0.031343139708042145,0.9854860150954886,1.1774011850357056,64.25223087273481,91.30403130250835,17781.810032735084,0.0,0.753298282623291,2.435215473175049,3.235231399536133,5.289952278137207,1195048,898,1.1031062742319675,1.0725979554203213,1.1352167874416208,1.03720305878011
europe,t2m_snap_vae_lat16_concat_with_elev_no_static_wd_crps,42,eval_aurora_lead6h,Aurora +6h,6,True,t2m,tessera,crps,gaussian,t2m,31,0.7570949361544765,1.8182976245880127,0.8205685615539551,1.132716417312622,1.614203929901123,-0.00046414355165325105,0.9846641218380988,1.1678454875946045,61.457113019728084,89.82049256598899,41563.57809560788,0.0,0.7999505996704102,2.5224082469940186,3.312662124633789,5.331798553466797,1195048,898,1.1427497673239189,1.114202638993722,1.1941313918791836,1.0793940724722721
