region,config,seed,eval_source,eval_label,lead_hours,present,target,variant,head,is_tessera,variable,checkpoint_epoch,best_val_loss,nll,crps,mae,rmse,bias,correlation,mean_pred_std,within_1sigma,within_2sigma,pit_chi2_stat,pit_chi2_pvalue,p50,p90,p95,p99,n_predictions,n_test_stations,seasonal_mae_DJF,seasonal_mae_MAM,seasonal_mae_JJA,seasonal_mae_SON
east_asia,wind_truncnormal_xlead_snap_bilinear_baseline_wd,123,eval_lead6h,Lead +6h,6,True,wind,baseline,truncated_normal,False,wind,1,1.7998230952922611,1.8024957180023193,0.892551600933075,1.244946837425232,1.7213152647018433,-0.13515818119049072,0.6575860074044672,1.7958132028579712,78.52538858437947,96.40750325494672,3649.8076286306723,0.0,0.9153968691825867,2.7215535640716553,3.529384136199951,5.665043830871582,124426,88,1.378962051064919,1.2455740119787277,1.1414975500096527,1.2119415121237187
east_asia,wind_truncnormal_xlead_snap_bilinear_baseline_wd,123,eval_lead24h,Lead +24h,24,True,wind,baseline,truncated_normal,False,wind,1,1.7998230952922611,1.810936450958252,0.8954517245292664,1.255265235900879,1.7340188026428223,-0.1306179016828537,0.6510636486402841,1.7961058616638184,78.11631009596066,96.30945300821372,3509.790911867294,0.0,0.9225547313690186,2.7457540035247803,3.552628517150879,5.685633659362793,124426,88,1.3922535547833879,1.2530363528994541,1.1518587957263313,1.2196750447102236
east_asia,wind_truncnormal_xlead_snap_bilinear_baseline_wd,123,eval_lead72h,Lead +72h,72,True,wind,baseline,truncated_normal,False,wind,1,1.7998230952922611,1.842384934425354,0.9230057001113892,1.2933034896850586,1.7888332605361938,-0.10330338776111603,0.6227091865332747,1.801290512084961,77.02489833314581,95.86179737353929,3091.202031729703,0.0,0.9442139863967896,2.8304805755615234,3.6787993907928467,5.87056827545166,124426,88,1.4283255982047336,1.299066587785342,1.1939662780490208,1.2493419648551884
east_asia,wind_truncnormal_xlead_snap_bilinear_baseline_wd,42,eval_lead0h,ERA5 (lead 0),0,True,wind,baseline,truncated_normal,False,wind,1,1.8178027153015137,1.8225115537643433,0.9073688387870789,1.2587476968765259,1.7393759489059448,-0.09840935468673706,0.6474285945912642,1.811608076095581,78.47636346101298,96.31748991368364,3513.1040457782133,0.0,0.9260441064834595,2.742208480834961,3.5585711002349854,5.7211809158325195,124426,88,1.3863361582441316,1.2669667907460849,1.1600142734726442,1.2272017761002842
east_asia,wind_truncnormal_xlead_snap_bilinear_baseline_wd,42,eval_lead6h,Lead +6h,6,True,wind,baseline,truncated_normal,False,wind,1,1.8178027153015137,1.8240721225738525,0.9036932587623596,1.2584724426269531,1.7409950494766235,-0.11510615050792694,0.6470296271890229,1.8064165115356445,78.43135679038143,96.22265442913861,3640.7276935688683,0.0,0.9245962500572205,2.740447998046875,3.5821924209594727,5.726096153259277,124426,88,1.3875003284163179,1.2658091380693008,1.1582092092859724,1.224218557995011
east_asia,wind_truncnormal_xlead_snap_bilinear_baseline_wd,42,eval_lead24h,Lead +24h,24,True,wind,baseline,truncated_normal,False,wind,1,1.8178027153015137,1.8296492099761963,0.9050559997558594,1.2667635679244995,1.7515649795532227,-0.10641742497682571,0.6415349560277792,1.8080623149871826,78.08416247408097,96.1246041824056,3501.9854692749104,0.0,0.9285269379615784,2.7707996368408203,3.6016149520874023,5.754387378692627,124426,88,1.4019757049880197,1.2710098238315906,1.1644028366021433,1.2308454429180298
east_asia,wind_truncnormal_xlead_snap_bilinear_baseline_wd,42,eval_lead72h,Lead +72h,72,True,wind,baseline,truncated_normal,False,wind,1,1.8178027153015137,1.853837251663208,0.9289072751998901,1.299492359161377,1.7988835573196411,-0.07262727618217468,0.6167412238531096,1.8167684078216553,77.36968157780528,95.8312571327536,3328.99332936846,0.0,0.9487202763557434,2.84000301361084,3.682194709777832,5.9246506690979,124426,88,1.439267349533275,1.3116209991343493,1.1955672860537172,1.2585025346631449
east_asia,wind_truncnormal_xlead_snap_bilinear_baseline_wd,456,eval_lead0h,ERA5 (lead 0),0,True,wind,baseline,truncated_normal,False,wind,1,1.8022485996762367,1.7979652881622314,0.8988749980926514,1.241057276725769,1.716870903968811,-0.1477935016155243,0.6604246287907514,1.7570487260818481,78.11309533377269,96.1246041824056,4251.499075755871,0.0,0.9091770648956299,2.7115256786346436,3.5449013710021973,5.6774396896362305,124426,88,1.3665558082322455,1.2523689104702058,1.1455036563254954,1.2043156815156257
east_asia,wind_truncnormal_xlead_snap_bilinear_baseline_wd,456,eval_lead6h,Lead +6h,6,True,wind,baseline,truncated_normal,False,wind,1,1.8022485996762367,1.801243782043457,0.8877953886985779,1.2423036098480225,1.720375418663025,-0.16505230963230133,0.6595051403814993,1.7519283294677734,78.00941925321074,95.9783325028531,4476.79989712761,0.0,0.9086209535598755,2.719101905822754,3.5533409118652344,5.701040267944336,124426,88,1.367955293532318,1.2535366326874626,1.1454161686884146,1.2033435405326913
east_asia,wind_truncnormal_xlead_snap_bilinear_baseline_wd,456,eval_lead24h,Lead +24h,24,True,wind,baseline,truncated_normal,False,wind,1,1.8022485996762367,1.8083999156951904,0.8981742858886719,1.2514607906341553,1.7311855554580688,-0.1555957943201065,0.653467108113721,1.7540066242218018,77.70723160754183,95.90358928198287,4365.929982479546,0.0,0.9143445491790771,2.7387733459472656,3.5709269046783447,5.732420921325684,124426,88,1.3799838687519057,1.2598469588605736,1.1567096989033854,1.210593261182364
